Model             , SMOTE, Best_CV_F1, Test_Accuracy, Test_F1, Test_Precision, Test_Recall, Test_ROC_AUC, Train_Time_s, Best_Params
RandomForest      , False,     0.8649,        0.9859,  0.8718,         0.8917,      0.8528,       0.9958,        138.4, "{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 20, ""class_weight"": null}"
XGBoost           , False,     0.8553,        0.9834,  0.8617,         0.8123,      0.9175,       0.9938,         25.1, "{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 500, ""min_child_weight"": 1, ""max_depth"": 10, ""learning_rate"": 0.1, ""gamma"": 0.5, ""colsample_bytree"": 1.0}"
LightGBM          , False,     0.8661,        0.9833,  0.86  ,         0.8157,      0.9094,       0.995 ,         37.7, "{""subsample"": 1.0, ""reg_lambda"": 0.1, ""reg_alpha"": 0, ""num_leaves"": 63, ""n_estimators"": 300, ""min_child_samples"": 20, ""max_depth"": 10, ""learning_rate"": 0.2, ""colsample_bytree"": 0.8}"
LightGBM_SMOTE    , True ,     0.8582,        0.9829,  0.8574,         0.8071,      0.9142,       0.995 ,         79.5, "{""subsample"": 0.8, ""num_leaves"": 127, ""n_estimators"": 500, ""min_child_samples"": 5, ""max_depth"": -1, ""learning_rate"": 0.1, ""colsample_bytree"": 0.6}"
RandomForest_SMOTE, True ,     0.8651,        0.9821,  0.8517,         0.7997,      0.911 ,       0.9951,        428.4, "{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}"
DecisionTree      , False,     0.8329,        0.9817,  0.8365,         0.8412,      0.8317,       0.976 ,          5.8, "{""min_samples_split"": 20, ""min_samples_leaf"": 2, ""max_depth"": 15, ""criterion"": ""entropy"", ""class_weight"": null}"
DecisionTree_SMOTE, True ,     0.8331,        0.9808,  0.8358,         0.8051,      0.8689,       0.9426,         13.2, "{""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_depth"": 30, ""criterion"": ""gini""}"
XGBoost_SMOTE     , True ,     0.8422,        0.9789,  0.834 ,         0.7474,      0.9434,       0.9954,         54.5, "{""subsample"": 0.8, ""n_estimators"": 500, ""min_child_weight"": 3, ""max_depth"": 10, ""learning_rate"": 0.05, ""gamma"": 0.1, ""colsample_bytree"": 1.0}"
KNN_SMOTE         , True ,     0.8211,        0.9796,  0.8306,         0.7798,      0.8883,       0.9534,        122.5, "{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 3, ""metric"": ""manhattan""}"
NaiveBayes_SMOTE  , True ,     0.4542,        0.8732,  0.453 ,         0.2992,      0.932 ,       0.9498,          6.0, "{""var_smoothing"": 0.004498432668969453}"
